competition,name,country,position,top1,zone1,top2,zone2,top3,zone3,top4,zone4
"Boulder • Speed IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017 NanjingWC 29 - 30 Apr",miho nonaka,JPN,2nd,inf,8.0,4.0,4.0,2.0,2.0,inf,1.0
"Boulder • Speed IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017 NanjingWC 29 - 30 Apr",jain kim,KOR,3rd,inf,inf,inf,6.0,inf,inf,5.0,5.0
"Boulder • Speed IFSC Climbing Worldcup (B,S) - Tai'an (CHN) 2018 TaianWC 12 - 13 May",fanny gibert,FRA,1st,2.0,2.0,inf,inf,4.0,4.0,inf,1.0
"Boulder • Speed IFSC Climbing Worldcup (B,S) - Tai'an (CHN) 2018 TaianWC 12 - 13 May",stasa gejo,SRB,2nd,inf,1.0,3.0,3.0,inf,3.0,inf,inf
"Boulder • Speed IFSC Climbing Worldcup (B,S) - Tai'an (CHN) 2018 TaianWC 12 - 13 May",kyra condie,USA,4th,inf,1.0,inf,1.0,inf,inf,inf,3.0
"Boulder • Speed IFSC Climbing Worldcup (B,S) - Tai'an (CHN) 2018 TaianWC 12 - 13 May",miho nonaka,JPN,5th,1.0,1.0,1.0,1.0,5.0,4.0,3.0,1.0
"Boulder • Speed IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019 WujiangWC 3 - 5 May",miho nonaka,JPN,3rd,2.0,1.0,inf,1.0,2.0,2.0,inf,3.0
"Boulder&Lead IFSC Asia - Continental Championships (B, L, S, B&L) - Republic of Korea 2022 10-16 Oct",futaba ito,JPN,2nd,1.0,1.0,2.0,2.0,inf,1.0,1.0,1.0
"Boulder&Lead IFSC Asia - Continental Championships (B, L, S, B&L) - Republic of Korea 2022 10-16 Oct",chaehyun seo,KOR,3rd,1.0,1.0,6.0,6.0,inf,1.0,1.0,1.0
"Boulder&Lead IFSC Asia - Continental Championships (B, L, S, B&L) - Republic of Korea 2022 10-16 Oct",elnaz rekabi,IRIR,4th,2.0,2.0,9.0,9.0,inf,1.0,2.0,1.0
"Lead • Boulder IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021 Innsbruck 23 - 26 Jun",stasa gejo,SRB,3rd,inf,3.0,2.0,2.0,inf,1.0,inf,inf
"Lead • Boulder IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021 Innsbruck 23 - 26 Jun",futaba ito,JPN,4th,3.0,3.0,inf,5.0,inf,inf,inf,inf
Lead • Boulder • Speed IFSC Climbing World Championship - Paris (FRA) 2012 WCH Paris 12 - 16 Sep,jain kim,KOR,5th,1.0,1.0,inf,inf,inf,inf,2.0,2.0
Lead • Boulder • Speed IFSC Climbing World Championships - Paris (FRA) 2016 WCH Paris 14 - 18 Sep,petra klingler,SUI,1st,1.0,1.0,inf,2.0,1.0,1.0,2.0,2.0
Lead • Boulder • Speed IFSC Climbing World Championships - Paris (FRA) 2016 WCH Paris 14 - 18 Sep,miho nonaka,JPN,2nd,2.0,2.0,inf,2.0,3.0,3.0,4.0,2.0
Lead • Boulder • Speed • Combined IFSC Climbing World Championships - Hachioji (JPN) 2019 WCH Hachioji 11 - 21 Aug,ievgeniia kazbekova,UKR,4th,inf,1.0,inf,inf,3.0,3.0,inf,inf
Lead • Boulder • Speed • Combined IFSC Climbing World Championships - Hachioji (JPN) 2019 WCH Hachioji 11 - 21 Aug,miho nonaka,JPN,5th,inf,inf,inf,inf,5.0,5.0,inf,1.0
Lead • Boulder • Speed • Combined IFSC Climbing World Championships - Innsbruck (AUT) 2018 WCH Innsbruck 6 - 16 Sep,stasa gejo,SRB,3rd,inf,5.0,inf,inf,1.0,1.0,inf,inf
Lead • Boulder • Speed • Combined IFSC Climbing World Championships - Innsbruck (AUT) 2018 WCH Innsbruck 6 - 16 Sep,miho nonaka,JPN,5th,inf,inf,inf,inf,inf,3.0,inf,1.0
"Lead • Speed • Boulder • Combined IFSC - Climbing World Championships (B,L,S) - Moscow 2021 Moscow 16 - 21 Sep",stasa gejo,SRB,1st,inf,1.0,3.0,2.0,inf,2.0,2.0,2.0
"Lead • Speed • Boulder • Combined IFSC - Climbing World Championships (B,L,S) - Moscow 2021 Moscow 16 - 21 Sep",brooke raboutou,USA,3rd,2.0,1.0,1.0,1.0,inf,inf,inf,2.0
"Lead • Speed • Boulder • Combined IFSC - Climbing World Championships (B,L,S) - Moscow 2021 Moscow 16 - 21 Sep",camilla moroni,ITA,5th,3.0,1.0,1.0,1.0,7.0,7.0,2.0,2.0
"Lead • Speed • Boulder • Combined IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020 Moscow 21 - 29 Nov",stasa gejo,SRB,1st,inf,1.0,1.0,1.0,inf,1.0,3.0,1.0
"Lead • Speed • Boulder • Combined IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020 Moscow 21 - 29 Nov",lucia dörffel,GER,2nd,2.0,1.0,1.0,1.0,inf,1.0,inf,inf
"Lead • Speed • Boulder • Combined IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020 Moscow 21 - 29 Nov",chloe caulier,BEL,5th,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0
