competition,name,country,position,top1,zone1,top2,zone2,top3,zone3,top4,zone4
Boulder IFSC Climbing Worldcup (B) - Munich (GER) 2015 Munich 14 - 15 Aug,fanny gibert,FRA,1st,inf,4.0,1.0,1.0,1.0,1.0,1.0,1.0
Boulder IFSC Climbing Worldcup (B) - Munich (GER) 2015 Munich 14 - 15 Aug,stasa gejo,SRB,4th,inf,1.0,inf,1.0,2.0,1.0,inf,inf
Boulder IFSC Climbing Worldcup (B) - Munich (GER) 2016 MunichWC 12 - 13 Aug,miho nonaka,JPN,1st,inf,1.0,1.0,1.0,1.0,1.0,5.0,5.0
Boulder IFSC Climbing Worldcup (B) - Munich (GER) 2016 MunichWC 12 - 13 Aug,stasa gejo,SRB,5th,inf,1.0,inf,1.0,2.0,1.0,inf,inf
Boulder IFSC Climbing Worldcup (B) - Munich (GER) 2017 MunichWC 18 - 19 Aug,stasa gejo,SRB,4th,inf,inf,inf,5.0,3.0,3.0,inf,1.0
Boulder IFSC Climbing Worldcup (B) - Munich (GER) 2018 MunichWC 17 - 18 Aug,fanny gibert,FRA,1st,inf,4.0,1.0,1.0,inf,2.0,inf,1.0
Boulder IFSC Climbing Worldcup (B) - Munich (GER) 2018 MunichWC 17 - 18 Aug,miho nonaka,JPN,5th,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
Boulder IFSC Climbing Worldcup (B) - Munich (GER) 2019 MunichWC 18 - 19 May,mia krampl,SLO,1st,inf,inf,5.0,5.0,3.0,3.0,1.0,1.0
Boulder IFSC Climbing Worldcup (B) - Munich (GER) 2019 MunichWC 18 - 19 May,ievgeniia kazbekova,UKR,3rd,3.0,2.0,inf,4.0,inf,inf,inf,1.0
Boulder IFSC Climbing Worldcup (B) - Munich (GER) 2019 MunichWC 18 - 19 May,fanny gibert,FRA,5th,1.0,1.0,2.0,2.0,3.0,3.0,2.0,1.0
Boulder IFSC Climbing Worldcup (B) - Navi Mumbai (IND) 2016 NaviMumbaiWC 14 - 15 May,miho nonaka,JPN,1st,1.0,1.0,inf,2.0,inf,inf,3.0,3.0
Boulder IFSC Climbing Worldcup (B) - Navi Mumbai (IND) 2016 NaviMumbaiWC 14 - 15 May,sol sa,KOR,5th,1.0,1.0,inf,inf,inf,5.0,inf,inf
Boulder IFSC Climbing Worldcup (B) - Navi Mumbai (IND) 2017 MumbaiWC 24 - 25 Jun,miho nonaka,JPN,1st,1.0,1.0,5.0,5.0,1.0,1.0,inf,4.0
Boulder IFSC Climbing Worldcup (B) - Navi Mumbai (IND) 2017 MumbaiWC 24 - 25 Jun,petra klingler,SUI,3rd,inf,1.0,inf,inf,2.0,2.0,inf,1.0
Boulder IFSC Climbing Worldcup (B) - Toronto (CAN) 2014 Toronto 31 - 1 May - Jun,miho nonaka,JPN,1st,1.0,1.0,1.0,1.0,2.0,2.0,inf,inf
Boulder IFSC Climbing Worldcup (B) - Vail (USA) 2009 WC Vail 5 - 6 Jun,jain kim,KOR,4th,1.0,1.0,2.0,1.0,inf,2.0,inf,1.0
Boulder IFSC Climbing Worldcup (B) - Vail (USA) 2011 Vail 3 - 4 Jun,jain kim,KOR,3rd,1.0,1.0,inf,inf,inf,inf,2.0,1.0
Boulder IFSC Climbing Worldcup (B) - Vail (USA) 2014 Vail 6 - 7 Jun,fanny gibert,FRA,1st,2.0,2.0,1.0,1.0,inf,2.0,inf,3.0
Boulder IFSC Climbing Worldcup (B) - Vail (USA) 2015 Vail 5 - 6 Jun,miho nonaka,JPN,4th,1.0,1.0,inf,inf,inf,1.0,inf,inf
